from_cbsa_info_CBSA Name,from_CBSA,from_CBSA_ID,from_state,to_cbsa_info_CBSA Name,to_CBSA,to_CBSA_ID,to_state,Total Perm,Total Temp,from_num_households,to_num_households
Atlanta-Sandy Springs-Alpharetta,"Atlanta-Sandy Springs-Alpharetta, GA",310M400US12060, GA,Crestview-Fort Walton Beach-Destin,"Crestview-Fort Walton Beach-Destin, FL",310M400US18880, FL,100.00,0.00,2104360.00,105382.00
Atlanta-Sandy Springs-Alpharetta,"Atlanta-Sandy Springs-Alpharetta, GA",310M400US12060, GA,Dallas-Fort Worth-Arlington,"Dallas-Fort Worth-Arlington, TX",310M400US19100, TX,1043.00,0.00,2104360.00,2553470.00
Atlanta-Sandy Springs-Alpharetta,"Atlanta-Sandy Springs-Alpharetta, GA",310M400US12060, GA,Deltona-Daytona Beach-Ormond Beach,"Deltona-Daytona Beach-Ormond Beach, FL",310M400US19660, FL,115.00,0.00,2104360.00,258616.00
Atlanta-Sandy Springs-Alpharetta,"Atlanta-Sandy Springs-Alpharetta, GA",310M400US12060, GA,Denver-Aurora-Lakewood,"Denver-Aurora-Lakewood, CO",310M400US19740, CO,255.00,0.00,2104360.00,1112126.00
Atlanta-Sandy Springs-Alpharetta,"Atlanta-Sandy Springs-Alpharetta, GA",310M400US12060, GA,Detroit-Warren-Dearborn,"Detroit-Warren-Dearborn, MI",310M400US19820, MI,319.00,0.00,2104360.00,1703819.00
Atlanta-Sandy Springs-Alpharetta,"Atlanta-Sandy Springs-Alpharetta, GA",310M400US12060, GA,Durham-Chapel Hill,"Durham-Chapel Hill, NC",310M400US20500, NC,104.00,0.00,2104360.00,245658.00
Atlanta-Sandy Springs-Alpharetta,"Atlanta-Sandy Springs-Alpharetta, GA",310M400US12060, GA,Greenville-Anderson,"Greenville-Anderson, SC",310M400US24860, SC,338.00,0.00,2104360.00,343270.00
Atlanta-Sandy Springs-Alpharetta,"Atlanta-Sandy Springs-Alpharetta, GA",310M400US12060, GA,Houston-The Woodlands-Sugar Land,"Houston-The Woodlands-Sugar Land, TX",310M400US26420, TX,1095.00,0.00,2104360.00,2352275.00
Atlanta-Sandy Springs-Alpharetta,"Atlanta-Sandy Springs-Alpharetta, GA",310M400US12060, GA,Huntsville,"Huntsville, AL",310M400US26620, AL,60.00,0.00,2104360.00,180332.00
Atlanta-Sandy Springs-Alpharetta,"Atlanta-Sandy Springs-Alpharetta, GA",310M400US12060, GA,Jacksonville,"Jacksonville, FL",310M400US27260, FL,950.00,0.00,2104360.00,563946.00
Atlanta-Sandy Springs-Alpharetta,"Atlanta-Sandy Springs-Alpharetta, GA",310M400US12060, GA,Knoxville,"Knoxville, TN",310M400US28940, TN,82.00,0.00,2104360.00,341209.00
Atlanta-Sandy Springs-Alpharetta,"Atlanta-Sandy Springs-Alpharetta, GA",310M400US12060, GA,Lakeland-Winter Haven,"Lakeland-Winter Haven, FL",310M400US29460, FL,89.00,0.00,2104360.00,235283.00
